Date_recorded,Picture_url,Title,Year,Type,Mileage,Engine Size,BHP,Transmition,Fuel Type,Price 
2019-02-10, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/fcc3087228a9462f93886cee8963e04c.jpg, Volkswagen Golf GTI/GTD/R MK7 Hatchback 3-Dr 2.0 TDI GTD 184PS 3dr, 2016 (16 reg), Hatchback, 28129 miles, 2.0L, 181bhp, Manual, Diesel, 16523
2019-02-10, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/3705e67d6842472fadb2b5b233f6de71.jpg, Volkswagen Golf 2.0 TSI GTI 220PS *Supplied by us new* 3dr, 2015, Hatchback, 23000 miles, 2.0L, 217bhp, Manual, Petrol, 16950
2019-02-10, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/3533c15fde434657a313b1db13fe778c.jpg, Volkswagen Golf 2.0 TSI BlueMotion Tech GTI+ (s/s) 3dr, 2015 (15 reg), Hatchback, 41870 miles, 2.0L, 227bhp, Manual, Petrol, 16990
2019-02-10, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/5f781cb8c314441696730afbbe6298d1.jpg, Volkswagen Golf 2.0 TSI GTI 5dr, 2014 (64 reg), Hatchback, 23000 miles, 2.0L, 217bhp, Manual, Petrol, 16995
2019-02-10, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/84e61688f76a4045bf9b5fd3a1cbd533.jpg, Volkswagen Golf GTI DSG 2.0 5dr, 2016 (66 reg), Hatchback, 11700 miles, 2.0L, 217bhp, Automatic, Petrol, 19500
2019-02-10, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/c1410cda1f5344f2b822774ba1fdf7ef.jpg, Volkswagen Golf Hatchback 2.0 TSI GTI 5dr, 2015 (65 reg), Hatchback, 35377 miles, 2.0L, 217bhp, Manual, Petrol, 16200
2019-02-10, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/891c4baf1f6749a0a704e080e1a9afea.jpg, Volkswagen Golf Hatchback 2.0 TSI GTI 5dr DSG [Leather], 2012 (12 reg), Hatchback, 43726 miles, 2.0L, 207bhp, Automatic, Petrol, 13300
2019-02-10, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/fbf354cc819f48f9ba8dd91f629ee74b.jpg, Volkswagen Golf 2.0 TSI BlueMotion Tech GTI (Performance pack) DSG …, 2014 (64 reg), Hatchback, 37500 miles, 2.0L, 227bhp, Automatic, Petrol, 16995
2019-02-10, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/2c8ce4a436df4300b9b3f05414257d1e.jpg, Volkswagen Golf 2.0 TSI GTI (Performance pack) DSG 5dr, 2014 (14 reg), Hatchback, 41000 miles, 2.0L, 227bhp, Automatic, Petrol, 17000
2019-02-10, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/4096cbc3be1742d7889ef83ef7259ba4.jpg, Volkswagen Golf 2.0 TSI GTI DSG 5dr, 2014 (14 reg), Hatchback, 32518 miles, 2.0L, 217bhp, Automatic, Petrol, 17490
