Date_recorded,Picture_url,Title,Year,Type,Mileage,Engine Size,BHP,Transmition,Fuel Type,Price 
2019-02-09, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/b6907d87314c4c17a54adf5fc4f85eb3.jpg, SEAT Leon 2.0 TSI Cupra 5dr - 18IN ALLOYS - PARKING SENSORS - …, 2009 (59 reg), Hatchback, 64826 miles, 2.0L, 237bhp, Manual, Petrol, 7495
2019-02-09, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/339fcc34a90245ab83121dc4bb7d1f09.jpg, SEAT Leon 1.4 Tsi Act 150 Fr 5Dr [technology Pack] Petrol Hatchback, 2015 (15 reg), Hatchback, 25199 miles, 1.4L, 148bhp, Manual, Petrol, 10800
2019-02-09, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/1ca8cb4e682b415598456010c1e3e450.jpg, SEAT Leon 2.0 Tsi Cupra Black 290 5Dr Petrol Hatchback, 2016 (66 reg), Hatchback, 17754 miles, 2.0L, 286bhp, Manual, Petrol, 17500
2019-02-09, /images/noimage/no_image_266x200.png, SEAT Leon 2.0 TSI Cupra 5dr, 2009 (59 reg), Hatchback, 64856 miles, 2.0L, 237bhp, Manual, Petrol, 7495
2019-02-09, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/1e20c242c03c409db7eced3f29931f28.jpg, SEAT Leon 2.0 TFSI Cupra K1 5dr, 2008 (08 reg), Hatchback, 59000 miles, 2.0L, 237bhp, Manual, Petrol, 7500
2019-02-09, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/41d5aadb94704ac7b8fa6e1dd4c2a441.jpg, SEAT Leon 1.6 TDI SE TECHNOLOGY 5d 105 BHP NAV BT £0 RT FSH XENON …, 2014 (63 reg), Hatchback, 42000 miles, 1.6L, 104bhp, Manual, Diesel, 7740
2019-02-09, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/24022f41f9c040ab8b29c86ee4946d9d.jpg, SEAT Leon 2.0 TDI FR TECHNOLOGY 5d 184 BHP * SERVICE HISTORY *, 2014 (14 reg), Estate, 97132 miles, 2.0L, 181bhp, Manual, Diesel, 7895
2019-02-09, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/3c6e147076514f39ab58022e87245494.jpg, SEAT Leon 2.0 TDI FR 5dr [Technology Pack], 2014 (14 reg), Estate, 69857 miles, 2.0L, 148bhp, Manual, Diesel, 7950
2019-02-09, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/9654ba1a3a68421a96204f7ba97707b0.jpg, SEAT Leon 2.0 TFSI Cupra K1 5dr, 2008 (08 reg), Hatchback, 69000 miles, 2.0L, 237bhp, Manual, Petrol, 7990
2019-02-09, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/4d14c4ce7f7a45b9bd5d5e015493daa4.jpg, SEAT Leon 1.8 20v Cupra R 5dr, 2005 (05 reg), Hatchback, 40000 miles, 1.8L, 222bhp, Manual, Petrol, 7995
2019-02-09, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/624b2d8f4bff4fd9bdae4c2665f671b0.jpg, SEAT Leon 2.0 TFSI Cupra 5dr, 2009 (58 reg), Hatchback, 58995 miles, 2.0L, 237bhp, Manual, Petrol, 8000
2019-02-09, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/4aba7c11f34f4d1fa180a36b8ee52c88.jpg, SEAT Leon 2.0 TFSI Cupra K1 5dr, 2008 (08 reg), Hatchback, 67000 miles, 2.0L, 237bhp, Manual, Petrol, 8000
2019-02-09, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/c78d088bacec4defa83bb524dd9b1c09.jpg, SEAT Leon 2.0 TFSI Cupra K1 5dr, 2009 (58 reg), Hatchback, 65000 miles, 2.0L, 237bhp, Manual, Petrol, 8000
2019-02-09, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/1ca8cb4e682b415598456010c1e3e450.jpg, SEAT Leon 2.0 Tsi Cupra Black 290 5Dr Petrol Hatchback, 2016 (66 reg), Hatchback, 17754 miles, 2.0L, 286bhp, Manual, Petrol, 17500
2019-02-09, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/339fcc34a90245ab83121dc4bb7d1f09.jpg, SEAT Leon 1.4 Tsi Act 150 Fr 5Dr [technology Pack] Petrol Hatchback, 2015 (15 reg), Hatchback, 25199 miles, 1.4L, 148bhp, Manual, Petrol, 10800
2019-02-09, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/b670401d324f40ecbff39cb50cee9ed8.jpg, SEAT Leon 2.0 TDI FR TECHNOLOGY 5d 150 BHP, 2014 (64 reg), Estate, 80606 miles, 2.0L, 148bhp, Manual, Diesel, 8295
2019-02-09, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/4e2a2ef52802486aa846b8fd5a1aadf0.jpg, SEAT Leon 2.0 CUPRA TSI 5d 240 BHP K1 Front Bumper, 2009 (59 reg), Hatchback, 80450 miles, 2.0L, 237bhp, Manual, Petrol, 8295
2019-02-09, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/9bea70cf82244b60a0f69f7789f5b048.jpg, SEAT Leon Sport Tourer 2.0 TDI FR 5dr [Technology Pack], 2014 (64 reg), Estate, 77569 miles, 2.0L, 148bhp, Manual, Diesel, 8391
2019-02-09, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/a14cf18116954dc89325c8730e46fbdc.jpg, SEAT Leon 2.0 TFSI Cupra K1 5dr, 2008 (58 reg), Hatchback, 68000 miles, 2.0L, 237bhp, Manual, Petrol, 8490
2019-02-09, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/8f98be970d5849c3839a374b3ad7f12e.jpg, SEAT Leon 2.0 TSI Cupra 5dr, 2011 (61 reg), Hatchback, 83000 miles, 2.0L, 237bhp, Manual, Petrol, 8490
2019-02-09, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/f954ce8d7fec464295ebff85ab8fd9eb.jpg, SEAT Leon 2.0 TFSI Cupra K1 5dr, 2008 (58 reg), Hatchback, 78000 miles, 2.0L, 237bhp, Manual, Petrol, 8495
2019-02-09, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/61ccf907dedf4282a6682ea45fe2448e.jpg, SEAT Leon 2.0 TFSI Cupra K1 5dr, 2008 (58 reg), Hatchback, 87000 miles, 2.0L, 237bhp, Manual, Petrol, 8590
2019-02-09, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/c607dd32a63240eca87b6047d00030f9.jpg, SEAT Leon 2.0 TDI FR TECHNOLOGY 5d 150 BHP £0 Deposit Finance …, 2013 (63 reg), Hatchback, 69000 miles, 2.0L, 148bhp, Manual, Diesel, 8680
2019-02-09, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/504903f124f84f30871266d2861c5250.jpg, SEAT Leon 2.0 TDI FR+ Supercopa 5dr, 2012 (62 reg), Hatchback, 79000 miles, 2.0L, 168bhp, Manual, Diesel, 8695
2019-02-09, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/0da6d974f3384e4c8b97f0fae0a6743f.jpg, SEAT Leon 2.0 TSI Cupra 5dr, 2010 (60 reg), Hatchback, 62030 miles, 2.0L, 237bhp, Manual, Petrol, 8757
2019-02-09, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/339fcc34a90245ab83121dc4bb7d1f09.jpg, SEAT Leon 1.4 Tsi Act 150 Fr 5Dr [technology Pack] Petrol Hatchback, 2015 (15 reg), Hatchback, 25199 miles, 1.4L, 148bhp, Manual, Petrol, 10800
2019-02-09, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/339fcc34a90245ab83121dc4bb7d1f09.jpg, SEAT Leon 1.4 Tsi Act 150 Fr 5Dr [technology Pack] Petrol Hatchback, 2015 (15 reg), Hatchback, 25199 miles, 1.4L, 148bhp, Manual, Petrol, 10800
2019-02-09, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/0dc5241b8db64513bcc2c271e0ef9c50.jpg, SEAT Leon 2.0 TFSI Cupra K1 5dr, 2008 (08 reg), Hatchback, 65000 miles, 2.0L, 237bhp, Manual, Petrol, 8990
2019-02-09, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/4f0ae4f17ab64436b62faacf8b8073ad.jpg, SEAT Leon 2.0 TDI FR 5d 150 BHP FSH BLUETOOTH DAB CLIMATE £20 TAX, 2014 (64 reg), Hatchback, 44940 miles, 2.0L, 148bhp, Manual, Diesel, 8990
2019-02-09, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/f061bf40a480447a95b72fa444698826.jpg, SEAT Leon 2.0 TDI FR 5dr [Technology Pack], 2013, Hatchback, 69905 miles, 2.0L, 148bhp, Manual, Diesel, 8995
2019-02-09, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/e7bbf09c9c9242f3807f7c448a68e2b6.jpg, SEAT Leon T FSi 241 Cupra K1 2.0 5dr, 2009 (58 reg), Hatchback, 63155 miles, 2.0L, 237bhp, Manual, Petrol, 8995
2019-02-09, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/7e1a6504a0e149cfb3d0eb872c04cdc2.jpg, SEAT Leon 2.0 TDI FR 5dr [Technology Pack], 2013 (63 reg), Hatchback, 43100 miles, 2.0L, 148bhp, Manual, Diesel, 9000
2019-02-09, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/2689102517e441bea3a90ed37234e31d.jpg, SEAT Leon 1.8 20v Cupra R 225 5dr CLICK FOR FINANCE ON WEBSITE TODAY, 2003 (53 reg), Hatchback, 11500 miles, 1.8L, 222bhp, Manual, Petrol, 9000
2019-02-09, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/da252240e1c24cf384e7a7e1a18b78d2.jpg, SEAT Leon 2.0 TSI Cupra R 5dr, 2010 (10 reg), Hatchback, 68000 miles, 2.0L, 261bhp, Manual, Petrol, 9490
2019-02-09, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/a88440de4f234f35a33e22f1666244ee.jpg, SEAT Leon 2.0 TDI [150] FR 5dr [Technology Pack], 2014 (64 reg), Hatchback, 50210 miles, 2.0L, 148bhp, Manual, Diesel, 9503
2019-02-09, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/69e6fb50ddf94eb0abe40bd5a0616eae.jpg, SEAT Leon 2.0 TDI FR TECHNOLOGY 5d 184 BHP, 2014 (64 reg), Hatchback, 63899 miles, 2.0L, 184BHP, Manual, Diesel, 9590
2019-02-09, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/717b27517f3d4ee786596f8ddd40beb5.jpg, SEAT Leon 2.0 TDI [150] FR 5dr [Technology Pack], 2015 (65 reg), Hatchback, 71481 miles, 2.0L, 148bhp, Manual, Diesel, 9593
2019-02-09, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/339fcc34a90245ab83121dc4bb7d1f09.jpg, SEAT Leon 1.4 Tsi Act 150 Fr 5Dr [technology Pack] Petrol Hatchback, 2015 (15 reg), Hatchback, 25199 miles, 1.4L, 148bhp, Manual, Petrol, 10800
